id,lesson,question,answer
1,ai,"Что такое искусственный интеллект?","Искусственный интеллект - это область компьютерных наук, которая занимается созданием интеллектуальных машин, способных выполнять задачи, требующие человеческого интеллекта"
2,math,"Что такое производная функции?","Производная функции - это предел отношения приращения функции к приращению аргумента, когда приращение аргумента стремится к нулю"
3,python,"Что такое список в Python?","Список в Python - это упорядоченная коллекция элементов, которая может содержать объекты разных типов и позволяет изменять свое содержимое"
4,ai,"Что такое машинное обучение?","Машинное обучение - это подраздел искусственного интеллекта, где алгоритмы обучаются на данных и улучшают свою производительность без явного программирования"
5,math,"Что такое интеграл?","Интеграл - это математическая операция, обратная дифференцированию, которая находит площадь под кривой или восстанавливает функцию по её производной"
6,python,"Что такое словарь в Python?","Словарь в Python - это неупорядоченная коллекция пар ключ-значение, где каждый ключ уникален и используется для доступа к соответствующему значению"
7,ai,"Что такое нейронная сеть?","Нейронная сеть - это вычислительная модель, вдохновленная биологическими нейронными сетями, состоящая из взаимосвязанных узлов (нейронов), которые обрабатывают информацию"
8,math,"Что такое матрица?","Матрица - это прямоугольная таблица чисел, расположенных в строках и столбцах, которая используется для решения систем уравнений и других математических операций"
9,python,"Что такое функция в Python?","Функция в Python - это именованный блок кода, который выполняет определенную задачу, может принимать параметры и возвращать результат"
10,ai,"Что такое глубокое обучение?","Глубокое обучение - это подраздел машинного обучения, использующий многослойные нейронные сети для изучения сложных представлений данных"
11,math,"Что такое логарифм?","Логарифм - это степень, в которую нужно возвести основание логарифма, чтобы получить данное число"
12,python,"Что такое кортеж в Python?","Кортеж в Python - это упорядоченная коллекция элементов, похожая на список, но неизменяемая после создания"
13,ai,"Что такое алгоритм?","Алгоритм - это конечная последовательность четко определенных инструкций для решения задачи или выполнения вычислений"
14,math,"Что такое комплексные числа?","Комплексные числа - это числа вида a + bi, где a и b - вещественные числа, а i - мнимая единица, равная квадратному корню из -1"
15,python,"Что такое модуль в Python?","Модуль в Python - это файл, содержащий определения функций, классов и переменных, который можно импортировать и использовать в других программах"
16,ai,"Что такое обработка естественного языка?","Обработка естественного языка (NLP) - это область ИИ, которая помогает компьютерам понимать, интерпретировать и генерировать человеческий язык"
17,math,"Что такое предел функции?","Предел функции - это значение, к которому стремится функция при приближении аргумента к определенной точке"
18,python,"Что такое класс в Python?","Класс в Python - это шаблон для создания объектов, определяющий их атрибуты и методы"
19,ai,"Что такое компьютерное зрение?","Компьютерное зрение - это область ИИ, которая позволяет компьютерам интерпретировать и понимать визуальную информацию из окружающего мира"
20,math,"Что такое вектор?","Вектор - это математический объект, характеризующийся величиной и направлением, часто представляемый в виде направленного отрезка"
21,python,"Что такое исключения в Python?","Исключения в Python - это события, которые возникают во время выполнения программы и нарушают нормальный ход её выполнения"
22,ai,"Что такое рекуррентная нейронная сеть?","Рекуррентная нейронная сеть (RNN) - это тип нейронной сети, способной обрабатывать последовательности данных благодаря наличию обратных связей"
23,math,"Что такое дискретная математика?","Дискретная математика - это раздел математики, изучающий дискретные (прерывные) структуры, такие как графы, множества, логика"
24,python,"Что такое генератор в Python?","Генератор в Python - это функция, которая возвращает итератор и может приостанавливать и возобновлять своё выполнение"
25,ai,"Что такое сверточная нейронная сеть?","Сверточная нейронная сеть (CNN) - это тип нейронной сети, особенно эффективный для обработки изображений, использующий операцию свертки"
26,math,"Что такое теория вероятностей?","Теория вероятностей - это раздел математики, изучающий случайные события и закономерности, которые проявляются в массовых случайных явлениях"
27,python,"Что такое декоратор в Python?","Декоратор в Python - это функция, которая принимает другую функцию и расширяет её поведение без явного изменения её кода"
